ID	Hospedador	Especie
AB003289	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
AB003290	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
AB003292	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
AB003293	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
AB008335	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
AB021287	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
AB100306	plants	Tolecusatellitidae,Deltasatellite,Tomato leaf curl deltasatellite
AB113651	plants	Tolecusatellitidae,Deltasatellite,Tomato leaf curl deltasatellite
AB116230	plants	Tolecusatellitidae,Deltasatellite,Tomato leaf curl deltasatellite
AB218609	algae	Alvernaviridae,Dinornavirus,Heterocapsa circularisquama RNA virus 01
AB307732	plants	Tolecusatellitidae,,Tomato leaf curl Laguna betasatellite
AB609718	bacteria	Myoviridae,,Enterococcus virus phiEC24C
AB937980	vertebrates	Circoviridae,,Human associated cyclovirus 8
AB937981	vertebrates	Circoviridae,,Human associated cyclovirus 8
AB937983	vertebrates	Circoviridae,,Human associated cyclovirus 8
AB937984	vertebrates	Circoviridae,,Human associated cyclovirus 8
AB937985	vertebrates	Circoviridae,,Human associated cyclovirus 8
AB937986	vertebrates	Circoviridae,,Human associated cyclovirus 8
AB937987	vertebrates	Circoviridae,,Human associated cyclovirus 8
AF006500	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
AF121950	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
AM258978	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AM260466	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AM279661	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AM279662	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AM279663	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AM279664	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AM279665	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AM279667	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AM279668	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
AM279669	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
